,Date,Open,High,Low,Close,Volume
71,04/07/2021,"2,226.13","2,255.00","2,225.33","2,249.68","1,289,861"
72,04/06/2021,"2,222.50","2,237.66","2,214.80","2,224.75","1,353,036"
73,04/05/2021,"2,152.94","2,237.31","2,151.62","2,225.55","2,164,875"
74,04/01/2021,"2,097.95","2,142.94","2,096.89","2,137.75","1,698,978"
75,03/31/2021,"2,059.12","2,093.33","2,056.75","2,068.63","1,459,930"
76,03/30/2021,"2,057.63","2,070.78","2,044.03","2,055.54","1,036,774"
77,03/29/2021,"2,027.88","2,058.43","2,015.62","2,055.95","1,229,777"
78,03/26/2021,"2,038.86","2,050.99","2,014.02","2,035.55","1,493,800"
79,03/25/2021,"2,044.81","2,058.87","2,010.73","2,044.36","1,418,907"
80,03/24/2021,"2,065.37","2,078.21","2,041.56","2,045.06","1,154,029"
81,03/23/2021,"2,051.70","2,072.30","2,039.22","2,052.96","1,366,997"
82,03/22/2021,"2,041.84","2,057.99","2,026.07","2,038.59","1,954,816"
83,03/19/2021,"2,042.05","2,053.10","2,017.68","2,043.20","2,314,893"
84,03/18/2021,"2,061.00","2,075.50","2,033.55","2,036.22","1,362,430"
85,03/17/2021,"2,076.03","2,109.78","2,054.00","2,091.08","1,299,016"
86,03/16/2021,"2,078.99","2,123.56","2,070.00","2,092.52","1,491,564"
87,03/15/2021,"2,062.30","2,067.06","2,043.51","2,066.49","1,298,325"
88,03/12/2021,"2,085.00","2,090.26","2,047.55","2,061.92","1,725,794"
89,03/11/2021,"2,074.06","2,125.70","2,072.38","2,114.77","1,239,080"
90,03/10/2021,"2,071.76","2,075.00","2,033.37","2,055.03","1,268,592"
91,03/09/2021,"2,070.00","2,078.04","2,047.83","2,052.70","1,697,306"
92,03/08/2021,"2,101.13","2,128.81","2,021.61","2,024.17","1,647,429"
93,03/05/2021,"2,073.12","2,118.11","2,046.42","2,108.54","2,195,218"
94,03/04/2021,"2,023.37","2,089.24","2,020.27","2,049.09","2,118,006"
95,03/03/2021,"2,067.21","2,088.52","2,010.00","2,026.71","1,484,181"
96,03/02/2021,"2,076.19","2,104.37","2,071.26","2,075.84","1,134,595"
